tweet,sentiment
no aguantamos más!!!!,NEGATIVE
buenos dias me preguntan que cómo sigo: les cuento que aqui estoy tirada en la cama con mi amor chiquito me bajó la fiebre pero el dolor de cabeza no tengo mucho miedo porque he estado un poco expuesta ayudando y llevando mercados con la fundación abro hilo,MIXED
cuando tu lugar de trabajo también se convierte en el cuarto de tu hijo,NEUTRAL
adivinen a quién me voy a llevar a pasear por el río? si ¡al pecuequitas tarzan!,NEUTRAL
y la verdad es que no me quiero de casa :(,NEGATIVE
río amazonas en la triple frontera entre colombia perú y brasil,NEUTRAL
la foto desde el puerto en leticia al frente santa rosa de perú a lo largo y ancho la inmensidad del río amazonas postales del atardecer à amazonas colombia,NEUTRAL
amé aquí pero ya extraño bogotá,MIXED
pues foticos del río no hubo porque tiempo tampoco hubo nos vemos en bogotá,NEUTRAL
así me despido de leticia,NEGATIVE
llegó mi mamá!!!la abuelita de neriá!!!,POSITIVE
mi amigo juancho recibiendo su reconocimiento merecido y necesario gracias juancho gracias los yetis ya nos veremos amigo en amazonas con las tres fronteras brasil peru y colombia,POSITIVE
y fue allí con esa mirada que se dió cuenta que éramos el uno para el otro ⁣oigan! cómo más iba a terminar este viaje si no era con una foto de lo más lindo que viví en el amazonas? :) en serio es una,POSITIVE
en nuestro paso por el amazonas fuimos a visitar 'aldea' una especie de reserva en medio de la selva en el que cuidan y alimentan a los animales en total libertad ️ en amazonas con las tres fronteras,NEUTRAL
esto ha sido probablemente de mis experiencias más bonitas en colombia sé y les quiero contar que nuestro país tiene muchísimo para ofrecer! leticia amazonas un destino si o sí para conocer qué me dicen de mis,POSITIVE
salchipapa time,NEUTRAL
yo aqui viendo a en día a día,NEUTRAL
hola amiguetes en este momento estoy en tabatinga la verdad solo he comido en tabatinga lo que son ceviches y arroces lo que re comendamos me metí a un lugar lindo decente y me pedi un pasta de frango sabia al propio vomito cuando vengan no coman en brasil nunca,POSITIVE
esto ha sido lo más mágico no imaginan️ tienen que presenciarlo todos los días a las 5:30pm en el parque santander en leticia amazonas colombia,POSITIVE
me quité el matorral,NEGATIVE
uribe ahora la democracia es solo economía?solo la democracia es la que le conviene a ud?️️️️,NEUTRAL
gasto d plata en propaganda?claudia lópez ya me la pelo cada 10 mits con su cuento d ayudaton&dice?=ayuda a los q más lo necesitan?ósea a ella?!porque ella d su parte lo q' da es bala con su descontrol policial ellos felices cagandosele en su alcaldía!&ella se hace la d las,NEUTRAL
por primera vez desde el hemisferio sur,NEUTRAL
reportando que es demasiado similar al que se presenta en la carta y una delicia,NEGATIVE
flores me quedo perfecta ⚘⚘y lo mejor con la compañía más bella la de mi mamá hermosa naturaleza,POSITIVE
rap en huitoto lengua de la amazonía en leticia amazonas,NEUTRAL
extrañare esto,NEGATIVE
ayer fue un día increíble sin pensarlo terminó siendo uno de los mejores cumpleaños estuve llena y rodeada de mucho amor y buenas energías gracias por la compañía en días previos recibo estos 23 años con,POSITIVE
una buena sonrisa para un nuevo inicio con toda la actitud en casino riviera amazonas,POSITIVE
una jornada más del con nuestros héroes esta vez en el grupo aereo del amazonas de la en amazonas con las tres fronteras brasil peru y colombia,NEUTRAL
grata experiencia,POSITIVE
mi plan favorito,POSITIVE
aquel día quería llenarme los pulmones de toda la fuerza del amazonas quería naufragar sin salvación entre los bufeos y las olas de rio que parece mar quería perderme entre los mitos realidad y la fantasía de la,NEUTRAL
eyyyy viajeros hoy desde el majestuoso río amazonas el más caudaloso y extenso del planeta qué tal un fin de semana en leticia hoy de lujo no? wairasuiteshotel,NEUTRAL
isla de los micos ️,NEUTRAL
dios santo lo que eh comido no tiene nombre y mi novio no colabora,NEGATIVE
i'm at vice consulado do brasil in leticia departamento del amazonas,NEUTRAL
clasificamos,NEUTRAL
¡qué llueva! en leticia amazonas,NEUTRAL
celebré una nueva oportunidad de vida en el amazonas y bogotá desliza️,POSITIVE
desde leticia felicitamos a este grupo de soldados que celebran su grado como bachilleres gracias a la alianza con la institución educativa celestin freinet ffmm le brinda a la oportunidad de culminar sus estudios,POSITIVE
amazonas,NEUTRAL
con un pie de cada lado con las tres fronteras brasil peru y colombia,NEUTRAL
esto no se ve todos los días,NEGATIVE
un bello lugar en la punta sur de mi colombia en leticia amazonas,POSITIVE
del batallón de apoyos y servicios nº26 adscrito al ffmm en articulación con busca mejorar las zonas comunes en el municipio de leticia con la campaña quiero mi barrio,NEUTRAL
tejiendo lazos entre las guardianas de los bosques entre el 3 y el 8 de abril 2018 cerca de 30 lideresas indígenas y de comunidades forestales de américa latina se reunieron en la,NEGATIVE
el pirarucú es un pez representativo del esta noche en disfrutando lo mejor de la gastronomía de la región con leonardo vargas presidente ejecutivo de la cámara de,NEUTRAL
el sonido de leticia al atardecer alucinante!! en leticia amazonas,NEGATIVE
️️ amazonas en amazonas con las tres fronteras brasil peru y colombia,NEUTRAL
orgulloso de mi país en leticia amazonas,POSITIVE
no hay duda de que es un país absolutamente maravilloso: en mitad del río amazonas,POSITIVE
amazonas inolvidable,NEGATIVE
la forma del agua de guillermo del otro y el yakuruna amazónico:la forma del agua el más,NEUTRAL
las zonas llegaron a ahora sí hasta el último rincón del país,NEUTRAL
amazon prime amazonas,NEUTRAL
hola amazonas,NEUTRAL
tenemos que estar dispuestos a dejar de lado la vida planificada para poder tener la vida que,NEUTRAL
en capacitación uso y apropiación de las tic innovación educativa mineducación,NEUTRAL
ésta hermandad sólo se vive los que vivimos en la triple frontera colombiabrasilperu,NEUTRAL
la naturaleza y sus formas ️ en amazonas colombia,NEUTRAL
mojojoy vitamina pura el tema es animarse a comer este gusano en amazonas colombia,NEUTRAL
avanza amazonas putumayo re y caquetá recibidos,NEGATIVE
¡llegamos a instalarnos para renovar energías,NEUTRAL
