tweet,sentiment
buenos dias.me preguntan que cómo sigo: les cuento que aqui estoy tirada en la cama con mi amor chiquito. me bajó la fiebre pero el dolor de cabeza no.tengo mucho miedo porque he estado un poco expuesta ayudando y llevando mercados con la fundación . abro hilo,NEUTRAL
cuando tu lugar de trabajo también se convierte en el cuarto de tu hijo.#junglelife 🌳🐵⚡🌱🐒❤️👶🏻,NEUTRAL
"adivinen a quién me voy a llevar a pasear por el río? si, ¡al pecuequitas tarzan!#junglelife🦜🌱⚡🌳🐒❤️",NEUTRAL
"rap en huitoto, lengua de la amazonía. #rap #filmmaker #video en leticia, amazonas",NEUTRAL
extrañare esto.,NEUTRAL
y la verdad es que no me quiero de casa :(,NEUTRAL
"río amazonas en la triple frontera entre colombia, perú y brasil 🇨🇴 🇵🇪 🇧🇷",NEGATIVE
"la foto desde el puerto en leticia, al frente santa rosa de perú, a lo largo y ancho la inmensidad del río amazonas.postales del atardecer 🌿🌍💧 à amazonas, colombia",MIXED
amé aquí pero ya extraño bogotá 😭,NEGATIVE
pues foticos del río no hubo porque tiempo tampoco hubo. nos vemos en bogotá.,NEGATIVE
así me despido de leticia. 🥰,NEUTRAL
llegó mi mamá!!!la abuelita de neriá!!!#junglelife❤️🌳🙊⚡👶🏻,NEUTRAL
"mi amigo juancho, recibiendo su reconocimiento. merecido y necesario. gracias juancho, gracias los yetis. ya nos veremos amigo. en amazonas - con las tres fronteras - brasil, peru y colombia",NEUTRAL
"y fue allí, con esa mirada que se dió cuenta que éramos el uno para el otro 🤪🥰⁣oigan! cómo más iba a terminar este viaje si no era con una foto de lo más lindo que viví en el amazonas? :) en serio es una…",NEUTRAL
"en nuestro paso por el amazonas fuimos a visitar 'aldea', una especie de reserva en medio de la selva en el que cuidan y alimentan a los animales en total libertad ❣️🐒🐦🦜🐍🦎 en amazonas - con las tres fronteras -…",MIXED
"esto ha sido probablemente de mis experiencias más bonitas en colombia. sé y les quiero contar que nuestro país tiene muchísimo para ofrecer! leticia, amazonas.. un destino si o sí para conocer. qué me dicen de mis…",MIXED
salchipapa time ⚡#sunday #junglelife #summer🐒🌳👶🎈,NEUTRAL
yo aqui viendo a en día a día 🙂,NEUTRAL
"hola amiguetes...en este momento estoy en tabatinga, #brasil la verdad solo he comido en tabatinga lo que son ceviches y arroces -lo que re comendamos -me metí a un lugar lindo,decente y me pedi un pasta de frango sabia al propio vomito. cuando vengan, no coman en brasil nunca.",NEGATIVE
"esto ha sido lo más mágico... no imaginan♥️😍 tienen que presenciarlo. todos los días a las 5:30pm en el parque santander en leticia, amazonas, colombia.",NEGATIVE
"gasto d plata en propaganda?claudia lópez;ya me la pelo...cada 10 mits,con su cuento d ayudaton&dice?=""ayuda a los q más lo necesitan""?ósea a ella?!porque,ella d su parte lo q' da es bala,con su descontrol policial,ellos felices cagandosele en su alcaldía!&ella se hace la d las😎",POSITIVE
por primera vez desde el hemisferio sur,POSITIVE
reportando que es demasiado similar al que se presenta en la carta y una delicia. #amazonas 🎣,POSITIVE
#macro_flores me quedo perfecta 📸⚘🌹🌸🍃📸🇧🇷🌺🌸⚘🌹🍃y lo mejor con la compañía más bella la de mi mamá hermosa #fotografías #macro_naturaleza #tabatingaam #igersfotografias,POSITIVE
"ayer fue un día increíble, sin pensarlo terminó siendo uno de los mejores cumpleaños. 🎂🥳estuve llena y rodeada de mucho amor y buenas energías.🌟gracias por la compañía en días previos, recibo estos 23 años con…",POSITIVE
"una buena sonrisa para un nuevo inicio, con toda la actitud. en casino riviera amazonas",POSITIVE
"una jornada más del #correodelagratitud con nuestros héroes, esta vez en el grupo aereo del amazonas de la en amazonas - con las tres fronteras - brasil, peru y colombia",NEUTRAL
"grata experiencia #leticia2019 (@ aeropuerto internacional alfredo vásquez cobo - in leticia, amazonas)",NEUTRAL
mi plan favorito 🍻😍,POSITIVE
"la nota de medio día de noticias caracol del día de hoy es ofensiva. rechazo al argumento de ingerencia extranjera, estigmatización de la facultad de filosofía de la unal, de conecciones con militares venezolanos, para ocultar las causas de la movilización social.",POSITIVE
"aquel día quería llenarme los pulmones de toda la fuerza del amazonas, quería naufragar sin salvación, entre los bufeos y las olas de rio que parece mar. quería perderme, entre los mitos realidad y la fantasía de la…",NEUTRAL
eyyyy viajeros hoy desde el majestuoso río amazonas. el más caudaloso y extenso del planeta. qué tal un fin de semana en leticia_hoy de lujo no? wairasuiteshotel #travel #viajesbaratos #amazonas #rioamazonas #actor…,NEUTRAL
